,trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
0,2019-01-01 00:00:44+00:00,"Heller, Gutmann and Zieme",grocery_pos,107.23,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21 00:00:00+00:00,1f76529f8574734946361c461b024d99,49.159047,-118.186462,0
1,2019-01-01 00:00:51+00:00,Lind-Buckridge,entertainment,220.11,Malad City,ID,42.1808,-112.262,4154,Nature conservation officer,1962-01-19 00:00:00+00:00,a1a22d70485983eac12b5b88dad1cf95,43.150704,-112.154481,0
2,2019-01-01 00:07:27+00:00,Kiehn Inc,grocery_pos,96.29,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21 00:00:00+00:00,413636e759663f264aae1819a4d4f231,41.65752,-122.230347,0
3,2019-01-01 00:09:03+00:00,Beier-Hyatt,shopping_pos,7.77,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,1967-08-30 00:00:00+00:00,8a6293af5ed278dea14448ded2685fea,32.863258,-106.520205,0
4,2019-01-01 00:21:32+00:00,Bruen-Yost,misc_pos,6.85,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",1967-08-02 00:00:00+00:00,f3c43d336e92a44fc2fb67058d5949e3,43.753735,-111.454923,0
5,2019-01-01 00:22:06+00:00,Kunze Inc,grocery_pos,90.22,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,1966-12-03 00:00:00+00:00,95826e3caa9e0b905294c6dae985aec1,19.560013,-156.045889,0
6,2019-01-01 00:22:18+00:00,"Nitzsche, Kessler and Wol",shopping_pos,4.02,Valentine,NE,42.8062,-100.6215,4005,Network engineer,1945-03-15 00:00:00+00:00,20490f3f0966ce74b4aaba8dc2c4ed52,42.47559,-101.265846,0
7,2019-01-01 00:22:36+00:00,"Kihn, Abernathy and Douglas",shopping_net,3.66,Westfir,OR,43.7575,-122.481,597,Forensic psychologist,1961-05-19 00:00:00+00:00,870c92b288a974a2faf1f24b05c27e33,44.278191,-121.815161,0
8,2019-01-01 00:31:51+00:00,Ledner-Pfannerstill,gas_transport,102.13,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23 00:00:00+00:00,47238da5b40d126c8abea40a857c7809,39.807313,-109.348294,0
9,2019-01-01 00:34:10+00:00,Stracke-Lemke,grocery_pos,83.07,Conway,WA,48.34,-122.3456,85,"Research officer, political party",1984-09-01 00:00:00+00:00,9b7a0619dcc5c572dc134f2827ed5a6b,48.682111,-122.719904,0
10,2019-01-01 00:40:50+00:00,Cummerata-Jones,gas_transport,70.53,Athena,OR,45.8289,-118.4971,1302,Dealer,1976-10-18 00:00:00+00:00,7b91bd200c11c5cd24b43694e12b5bbc,46.043252,-117.962133,0
11,2019-01-01 00:41:45+00:00,Huel-Langworth,misc_net,177.57,Thompson,UT,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23 00:00:00+00:00,048dc7fc7ae8efd51f59f7176e6a8bd7,38.419431,-109.380252,0
12,2019-01-01 00:46:18+00:00,"Ferry, Lynch and Kautze",misc_net,2.76,San Jose,CA,37.3304,-121.7913,973849,Science writer,1955-06-12 00:00:00+00:00,70ca7fe41f09770d724a027152dcb9f0,37.548452000000005,-121.536454,0
